method,config,instance_name,best_obj,avg_obj,mean_runtime,runs
sfc,set2_7types_convex,HS_Random_4_10_1,179174.0,179211.9,19.3458933,10
vanilla,set2_7types_convex,HS_Random_4_10_1,179153.0,179182.7,14.8579063,10
sfc,set2_7types_convex,HS_Random_4_10_10,181878.0,181890.7,16.7992913,10
vanilla,set2_7types_convex,HS_Random_4_10_10,181778.0,181825.2,15.677715599999999,10
sfc,set2_7types_convex,HS_Random_4_10_2,179197.0,179210.0,23.605857,10
vanilla,set2_7types_convex,HS_Random_4_10_2,179186.0,179208.5,14.0037092,10
sfc,set2_7types_convex,HS_Random_4_10_3,183376.0,183387.5,17.6641732,10
vanilla,set2_7types_convex,HS_Random_4_10_3,183310.0,183351.9,15.1145969,10
sfc,set2_7types_convex,HS_Random_4_10_4,184222.0,184251.3,18.9173354,10
vanilla,set2_7types_convex,HS_Random_4_10_4,184173.0,184202.0,15.214742300000001,10
sfc,set2_7types_convex,HS_Random_4_10_5,177575.0,177602.8,17.4878841,10
vanilla,set2_7types_convex,HS_Random_4_10_5,177506.0,177528.1,16.4894119,10
sfc,set2_7types_convex,HS_Random_4_10_6,175300.0,175310.2,17.029918000000002,10
vanilla,set2_7types_convex,HS_Random_4_10_6,175244.0,175273.7,16.2798898,10
sfc,set2_7types_convex,HS_Random_4_10_7,179445.0,179460.8,19.8933581,10
vanilla,set2_7types_convex,HS_Random_4_10_7,179412.0,179441.6,14.451581999999998,10
sfc,set2_7types_convex,HS_Random_4_10_8,180559.0,180585.8,21.7761614,10
vanilla,set2_7types_convex,HS_Random_4_10_8,180431.0,180480.4,15.7968004,10
sfc,set2_7types_convex,HS_Random_4_10_9,175671.0,175692.7,16.526392800000004,10
vanilla,set2_7types_convex,HS_Random_4_10_9,175562.0,175594.6,15.868075199999998,10
sfc,set2_7types_convex,HS_Random_4_11_1,180460.0,180506.7,12.2202801,10
vanilla,set2_7types_convex,HS_Random_4_11_1,180359.0,180388.4,9.2978983,10
sfc,set2_7types_convex,HS_Random_4_11_10,182762.0,182797.7,15.482340400000002,10
vanilla,set2_7types_convex,HS_Random_4_11_10,182622.0,182676.9,9.9971051,10
sfc,set2_7types_convex,HS_Random_4_11_2,180177.0,180206.7,10.0122483,10
vanilla,set2_7types_convex,HS_Random_4_11_2,180130.0,180156.3,10.6468609,10
sfc,set2_7types_convex,HS_Random_4_11_3,184615.0,184636.8,15.329951600000001,10
vanilla,set2_7types_convex,HS_Random_4_11_3,184518.0,184551.7,10.064570100000001,10
sfc,set2_7types_convex,HS_Random_4_11_4,185175.0,185206.1,17.6006526,10
vanilla,set2_7types_convex,HS_Random_4_11_4,185128.0,185141.0,10.0893523,10
sfc,set2_7types_convex,HS_Random_4_11_5,178406.0,178448.4,10.285091099999999,10
vanilla,set2_7types_convex,HS_Random_4_11_5,178355.0,178384.4,9.6204723,10
sfc,set2_7types_convex,HS_Random_4_11_6,176228.0,176249.3,13.5668162,10
vanilla,set2_7types_convex,HS_Random_4_11_6,176182.0,176206.5,9.952732399999999,10
sfc,set2_7types_convex,HS_Random_4_11_7,180512.0,180535.5,14.9510695,10
vanilla,set2_7types_convex,HS_Random_4_11_7,180368.0,180415.6,9.6499077,10
sfc,set2_7types_convex,HS_Random_4_11_8,181615.0,181681.8,7.770403400000001,10
vanilla,set2_7types_convex,HS_Random_4_11_8,181511.0,181572.4,9.9597187,10
sfc,set2_7types_convex,HS_Random_4_11_9,176434.0,176474.9,8.6936471,10
vanilla,set2_7types_convex,HS_Random_4_11_9,176335.0,176376.4,10.099956,10
sfc,set2_7types_convex,HS_Random_4_9_1,179001.0,179038.8,23.263567000000002,10
vanilla,set2_7types_convex,HS_Random_4_9_1,178929.0,178958.3,27.0082143,10
sfc,set2_7types_convex,HS_Random_4_9_10,181730.0,181765.5,24.5347641,10
vanilla,set2_7types_convex,HS_Random_4_9_10,181496.0,181577.8,28.112542100000002,10
sfc,set2_7types_convex,HS_Random_4_9_2,178873.0,178890.9,18.342819600000002,10
vanilla,set2_7types_convex,HS_Random_4_9_2,178832.0,178880.9,23.6146311,10
sfc,set2_7types_convex,HS_Random_4_9_3,183247.0,183257.1,20.3646555,10
vanilla,set2_7types_convex,HS_Random_4_9_3,183228.0,183255.0,23.8072845,10
sfc,set2_7types_convex,HS_Random_4_9_4,184132.0,184142.7,15.373161300000001,10
vanilla,set2_7types_convex,HS_Random_4_9_4,184097.0,184130.8,24.8226519,10
sfc,set2_7types_convex,HS_Random_4_9_5,177486.0,177493.7,21.1535728,10
vanilla,set2_7types_convex,HS_Random_4_9_5,177366.0,177457.3,25.801939700000002,10
sfc,set2_7types_convex,HS_Random_4_9_6,175165.0,175172.6,21.8538322,10
vanilla,set2_7types_convex,HS_Random_4_9_6,175146.0,175174.0,24.6861442,10
sfc,set2_7types_convex,HS_Random_4_9_7,179326.0,179335.0,20.6091664,10
vanilla,set2_7types_convex,HS_Random_4_9_7,179208.0,179260.1,22.4460933,10
sfc,set2_7types_convex,HS_Random_4_9_8,180345.0,180356.5,19.050754899999998,10
vanilla,set2_7types_convex,HS_Random_4_9_8,180209.0,180230.0,25.9442601,10
sfc,set2_7types_convex,HS_Random_4_9_9,175508.0,175520.1,17.0924814,10
vanilla,set2_7types_convex,HS_Random_4_9_9,175412.0,175442.4,25.923885300000002,10
