method,config,instance_name,best_obj,avg_obj,mean_runtime,runs
sfc,set2_7types_linear,HS_Random_4_10_1,127030.0,127132.0,10.2298823,10
vanilla,set2_7types_linear,HS_Random_4_10_1,127010.0,127071.0,11.9254402,10
sfc,set2_7types_linear,HS_Random_4_10_10,128700.0,128780.0,11.409291,10
vanilla,set2_7types_linear,HS_Random_4_10_10,128660.0,128720.0,12.3101,10
sfc,set2_7types_linear,HS_Random_4_10_2,127610.0,127649.0,11.478786600000001,10
vanilla,set2_7types_linear,HS_Random_4_10_2,127520.0,127598.0,11.6512385,10
sfc,set2_7types_linear,HS_Random_4_10_3,129860.0,129959.0,9.7874218,10
vanilla,set2_7types_linear,HS_Random_4_10_3,129830.0,129850.0,11.9670594,10
sfc,set2_7types_linear,HS_Random_4_10_4,130910.0,130951.0,9.6080203,10
vanilla,set2_7types_linear,HS_Random_4_10_4,130790.0,130868.0,11.868749300000001,10
sfc,set2_7types_linear,HS_Random_4_10_5,126190.0,126261.0,11.737026199999999,10
vanilla,set2_7types_linear,HS_Random_4_10_5,126080.0,126153.0,12.1659074,10
sfc,set2_7types_linear,HS_Random_4_10_6,124510.0,124602.0,11.2337074,10
vanilla,set2_7types_linear,HS_Random_4_10_6,124410.0,124477.0,11.8650162,10
sfc,set2_7types_linear,HS_Random_4_10_7,127940.0,128003.0,10.0914958,10
vanilla,set2_7types_linear,HS_Random_4_10_7,127860.0,127904.0,11.9612129,10
sfc,set2_7types_linear,HS_Random_4_10_8,127750.0,127810.0,10.5017341,10
vanilla,set2_7types_linear,HS_Random_4_10_8,127710.0,127749.0,11.9260985,10
sfc,set2_7types_linear,HS_Random_4_10_9,124420.0,124474.0,13.2207345,10
vanilla,set2_7types_linear,HS_Random_4_10_9,124290.0,124387.0,11.4951598,10
sfc,set2_7types_linear,HS_Random_4_11_1,130360.0,130399.0,9.7226846,10
vanilla,set2_7types_linear,HS_Random_4_11_1,130240.0,130293.0,8.5978394,10
sfc,set2_7types_linear,HS_Random_4_11_10,131800.0,131841.0,11.3028819,10
vanilla,set2_7types_linear,HS_Random_4_11_10,131710.0,131767.0,8.5279095,10
sfc,set2_7types_linear,HS_Random_4_11_2,130560.0,130624.0,14.305166700000001,10
vanilla,set2_7types_linear,HS_Random_4_11_2,130520.0,130572.0,9.5852017,10
sfc,set2_7types_linear,HS_Random_4_11_3,132900.0,133000.0,14.8247342,10
vanilla,set2_7types_linear,HS_Random_4_11_3,132830.0,132874.0,8.7788291,10
sfc,set2_7types_linear,HS_Random_4_11_4,133740.0,133819.0,13.5570876,10
vanilla,set2_7types_linear,HS_Random_4_11_4,133780.0,133813.0,8.669836,10
sfc,set2_7types_linear,HS_Random_4_11_5,129130.0,129187.0,11.827432,10
vanilla,set2_7types_linear,HS_Random_4_11_5,129030.0,129075.0,8.9411438,10
sfc,set2_7types_linear,HS_Random_4_11_6,127430.0,127527.0,13.249433399999997,10
vanilla,set2_7types_linear,HS_Random_4_11_6,127370.0,127460.0,8.7280682,10
sfc,set2_7types_linear,HS_Random_4_11_7,131000.0,131050.0,12.0078319,10
vanilla,set2_7types_linear,HS_Random_4_11_7,130870.0,130940.0,8.6764413,10
sfc,set2_7types_linear,HS_Random_4_11_8,130570.0,130614.0,13.4830754,10
vanilla,set2_7types_linear,HS_Random_4_11_8,130490.0,130599.0,9.1654403,10
sfc,set2_7types_linear,HS_Random_4_11_9,127650.0,127729.0,10.9807402,10
vanilla,set2_7types_linear,HS_Random_4_11_9,127600.0,127648.0,8.783213100000001,10
sfc,set2_7types_linear,HS_Random_4_9_1,126330.0,126401.0,10.0900086,10
vanilla,set2_7types_linear,HS_Random_4_9_1,126300.0,126337.0,16.1659286,10
sfc,set2_7types_linear,HS_Random_4_9_10,127970.0,128029.0,10.0095228,10
vanilla,set2_7types_linear,HS_Random_4_9_10,127870.0,127939.0,16.4104951,10
sfc,set2_7types_linear,HS_Random_4_9_2,126640.0,126684.0,9.4095107,10
vanilla,set2_7types_linear,HS_Random_4_9_2,126560.0,126604.0,15.014698300000001,10
sfc,set2_7types_linear,HS_Random_4_9_3,129070.0,129106.0,8.228933999999999,10
vanilla,set2_7types_linear,HS_Random_4_9_3,128880.0,128968.0,16.1532428,10
sfc,set2_7types_linear,HS_Random_4_9_4,130090.0,130115.0,7.3121259,10
vanilla,set2_7types_linear,HS_Random_4_9_4,129900.0,129960.0,15.6142819,10
sfc,set2_7types_linear,HS_Random_4_9_5,125380.0,125446.0,8.5008369,10
vanilla,set2_7types_linear,HS_Random_4_9_5,125340.0,125396.0,16.9429262,10
sfc,set2_7types_linear,HS_Random_4_9_6,123780.0,123878.0,8.933874,10
vanilla,set2_7types_linear,HS_Random_4_9_6,123710.0,123789.0,14.581982,10
sfc,set2_7types_linear,HS_Random_4_9_7,127200.0,127277.0,8.9155732,10
vanilla,set2_7types_linear,HS_Random_4_9_7,127180.0,127239.0,14.9226542,10
sfc,set2_7types_linear,HS_Random_4_9_8,126950.0,126977.0,6.9212299,10
vanilla,set2_7types_linear,HS_Random_4_9_8,126760.0,126825.0,13.1590708,10
sfc,set2_7types_linear,HS_Random_4_9_9,123730.0,123792.0,7.3105563,10
vanilla,set2_7types_linear,HS_Random_4_9_9,123580.0,123639.0,14.32762,10
